일련번호,시도명,시군구명,대피지구명,대피장소명,주소,경도,위도,수용가능인원수(명),해변으로부터거리(M),대피소 분류명,내진적용여부,해발높이,관리기관,관리기관연락처
240,경상북도,영덕군,노물지구,경노회관뒤 골목,노물길 19-13(영덕읍 노물리 45),129.434362,36.446431,25,140,공터,-,48,47770,054-730-6521
241,경상북도,영덕군,노물지구,해녀횟집뒤 골목,노물길 19-21(영덕읍 노물리 20),129.434947,36.446441,25,160,공터,-,46,47770,054-730-6521
242,경상북도,영덕군,대부지구,창포교회뒤편,영덕읍 대부리 247-3,129.422813,36.403933,400,85,공터,-,35,47770,054-730-6521
243,경상북도,영덕군,대부지구,구)마을회관옆,영덕대게로 691-34(영덕군 영덕읍 대부리 273),129.421112,36.401413,150,90,공터,-,35,47770,054-730-6521
245,경상북도,영덕군,대진2지구,마을뒤 야산,(영해면 대진리 산 23-1),129.428568,36.556292,200,150,공터,-,20,47770,054-730-6521
246,경상북도,영덕군,대진3지구,마을뒤 야산,건달길 11-17 (대진3리 73),129.436472,36.554646,150,70,공터,-,20,47770,054-730-6521
247,경상북도,영덕군,대탄지구,창호민박뒤,영덕읍 대탄리 산13-1,129.432269,36.433843,130,260,공터,-,49,47770,054-730-6521
248,경상북도,영덕군,덕천지구,영덕경찰수련원,영덕로 2108-152(덕천리 190-42),129.416943,36.568802,300,500,공터,-,20,47770,054-730-6521
249,경상북도,영덕군,백석1지구,철암산,백석리 269-2,129.409293,36.620907,300,400,공터,-,56,47770,054-730-6521
250,경상북도,영덕군,백석1지구,철암산,백석리 310-3,129.409739,36.619014,300,400,공터,-,56,47770,054-730-6521
251,경상북도,영덕군,백석2지구,7번국도변,병곡면 백석리 123,129.411315,36.624989,300,300,공터,-,59,47770,054-730-6521
252,경상북도,영덕군,백석2지구,동해안휴게소,백석1길 7(병곡면 백석리 706),129.410934,36.623494,300,300,공터,-,59,47770,054-730-6521
254,경상북도,영덕군,병곡지구,바다향기펜션,병곡1길 37(병곡면 병곡리 24),129.414916,36.603701,200,300,공터,-,49,47770,054-730-6521
255,경상북도,영덕군,병곡지구,병곡휴게소,병곡리 331-9,129.413252,36.606215,800,600,공터,-,41,47770,054-730-6521
256,경상북도,영덕군,부경지구,장사해돋이휴게소 주차장,경상북도 영덕군 남정면 부경리,129.378177,36.275771,200,90,공터,-,30,47770,054-730-6521
257,경상북도,영덕군,부경지구,국도변,경상북도 영덕군 남정면 부경리,129.369476,36.271919,200,90,공터,-,30,47770,054-730-6521
258,경상북도,영덕군,부흥지구,마을회관,경상북도 영덕군 남정면 부흥리 96-1,129.377367,36.2923,300,130,공터,-,30,47770,054-730-6521
259,경상북도,영덕군,사진1지구,마을뒤야산,(사진리 산83),129.43681,36.538246,100,250,공터,-,35,47770,054-730-6521
260,경상북도,영덕군,사진2지구,마을뒤 공터,괴시사진길 327-26(사진리 310-4),129.43915,36.531065,150,150,공터,-,40,47770,054-730-6521
261,경상북도,영덕군,사진3지구,마을뒤야산,영덕대게로 2247-47 (사진3리 146),129.441682,36.520948,100,150,공터,-,20,47770,054-730-6521
262,경상북도,영덕군,삼사지구,삼사공원입구1,삼사리 753-1,129.382064,36.345435,500,250,도로변,-,27,47770,054-730-6521
263,경상북도,영덕군,삼사지구,삼사공원입구2,(강구면 삼사리 234),129.384945,36.345255,150,100,도로변,-,27,47770,054-730-6521
264,경상북도,영덕군,삼사지구,씨아일랜드주차장,(삼사리 631-8),129.381578,36.340158,50,60,공터,-,10,47770,054-730-6521
265,경상북도,영덕군,영4지구,영리 야산,병곡면 영리 296,129.402308,36.594331,300,600,공터,-,49,47770,054-730-6521
266,경상북도,영덕군,오보지구,오보보건소뒤,영덕읍 오보리 142,129.430228,36.441301,80,280,공터,-,30,47770,054-730-6521
267,경상북도,영덕군,오보지구,오보교회뒤,오보길 25-3(영덕읍 오보리 17-4),129.432117,36.442387,50,170,공터,-,47,47770,054-730-6521
268,경상북도,영덕군,오포1지구,오포1리 마을뒷산(1),강구면 오포리 684-1,129.374242,36.361722,340,1400,공터,-,340,47770,054-730-6521
269,경상북도,영덕군,오포1지구,오포1리 마을뒷산(2),강구면 오포리 산10,129.373347,36.364839,340,1500,공터,-,340,47770,054-730-6521
270,경상북도,영덕군,오포2. 3지구,독도수산뒤,강구면 삼사리 1-24,129.386,36.353,500,160,공터,-,37,47770,054-730-6521
271,경상북도,영덕군,오포2. 3지구,오포대게식당뒤,강구면 오포리 9-40,129.386473,36.354011,500,200,공터,-,33,47770,054-730-6521
272,경상북도,영덕군,오포2. 3지구,강구초등학교,경상북도 영덕군 강구면 나비산길 8(강구면 오포리 601),129.378478,36.356862,500,490,학교운동장,-,20,47770,054-730-6521
273,경상북도,영덕군,오포2. 3지구,강구정보고,강구면 신강구1길 45-5(삼사리 15-1),129.379949,36.353377,1200,1100,학교운동장,-,22,47770,054-730-6521
274,경상북도,영덕군,원척지구,경보휴게소,경상북도 영덕군 남정면 원척리 297-9,129.376547,36.296078,300,150,공터,-,30,47770,054-730-6521
275,경상북도,영덕군,원척지구,마을공터,경상북도 영덕군 남정면 원척리,129.369027,36.305206,200,70,공터,-,30,47770,054-730-6521
276,경상북도,영덕군,장사지구,남정중학교,경상북도 영덕군 남정면 장사리,129.370855,36.28362,500,1000,공터,-,30,47770,054-730-6521
277,경상북도,영덕군,장사지구,부흥2리 뒷산,경상북도 영덕군 남정면 부흥2리,129.367869,36.287882,250,900,공터,-,30,47770,054-730-6521
278,경상북도,영덕군,창포지구,창포초등학교,창포길2-11(영덕읍 창포리 550),129.427915,36.409441,430,100,학교운동장,-,25,47770,054-730-6521
279,경상북도,영덕군,창포지구,창포보건소뒤,영덕읍 창포리 931,129.423395,36.407756,30,100,공터,-,29,47770,054-730-6521
280,경상북도,영덕군,창포지구,갈매기횟집뒤,영덕읍 창포리 911,129.428784,36.408875,30,130,공터,-,35,47770,054-730-6521
281,경상북도,영덕군,창포지구,제당옆골목,영덕읍 창포리 572,129.428646,36.411318,30,90,공터,-,24,47770,054-730-6521
282,경상북도,영덕군,창포지구,창포일반(강유복 집뒤),창포1길 19(영덕읍 창포리 591),129.429359,36.412006,30,150,공터,-,29,47770,054-730-6521
283,경상북도,영덕군,축산항지구,축산항초교 뒷산,축산항초교길 2(축산면 축산리 187),129.442324,36.509527,400,800,공터,-,20,47770,054-730-6521
284,경상북도,영덕군,축산항지구,목너머,축산리 산8-5,129.443537,36.512057,400,70,공터,-,15,47770,054-730-6521
285,경상북도,영덕군,축산항지구,죽도산,축산리 산106-4,129.450889,36.507654,300,400,공터,-,40,47770,054-730-6521
286,경상북도,영덕군,축산항지구,블루로드길,축산리 산113-2,129.444205,36.501362,100,70,공터,-,40,47770,054-730-6521
287,경상북도,영덕군,축산항지구,와우산,축산리 산20-2,129.446597,36.510827,300,100,공터,-,30,47770,054-730-6521
288,경상북도,영덕군,하저지구,문화교맞은편뒤,강구면 하저리 401,129.406888,36.390612,100,200,공터,-,15,47770,054-730-6521
289,경상북도,영덕군,하저지구,하저문화마을뒤,강구면 하저리 449-1,129.404467,36.389579,200,310,공터,-,14,47770,054-730-6521
290,경상북도,영덕군,하저지구,탁주합동제조장뒤,경상북도 영덕군 강구면 하저리 722,129.409527,36.396418,100,430,공터,-,12,47770,054-730-6521
291,경상북도,영덕군,하저지구,푸른바다민박뒤,경상북도 영덕군 강구면 하저리 6-6,129.414122,36.393511,100,270,공터,-,11,47770,054-730-6521
292,경상북도,울릉군,남양지구,남양초등학교,경북 울릉군 서면 남양리 584,130.8399,37.46863,400,336,학교운동장,-,20.9,47940,054-791-2296
293,경상북도,울릉군,남양지구,서면사무소,경상북도 울릉군 서면 남양4길 31,130.838096,37.467716,100,136,공터,-,15.8,47940,054-790-6332
294,경상북도,울릉군,남양지구,울릉서중학교,경북 울릉군 서면 남서리 629-12,130.836369,37.468891,400,228,학교운동장,-,16.9,47940,054-791-2296
295,경상북도,울릉군,도동지구,울릉중학교,경상북도 울릉군 울릉읍 도동길 151-19,130.9013869,37.4847918,400,328,학교운동장,-,48.3,47940,054-791-2296
296,경상북도,울릉군,사동지구,농업기술센터,경북 울릉군 울릉읍 사동리 541-4,130.873183,37.458434,200,185,공터,-,38.3,47940,054-790-6332
297,경상북도,울릉군,저동지구,울릉고등학교,경북 울릉군 울릉읍  울릉순환로 236,130.907692,37.4928583,700,192,학교운동장,-,27.3,47940,054-791-2296
298,경상북도,울릉군,저동지구,우산중학교,경북 울릉군 울릉읍 저동길 54,130.906256,37.494907,500,330,학교운동장,-,45.2,47940,054-791-2296
299,경상북도,울릉군,천부지구,북면사무소,경상북도 울릉군 북면 천부2길 11,130.874611,37.541044,200,146,공터,-,16.1,47940,054-790-6332
300,경상북도,울릉군,천부지구,천부초등학교,경북 울릉군 북면 천부리 694,130.871402,37.537065,300,228,학교운동장,-,54.6,47940,054-791-2296
301,경상북도,울릉군,태하지구,태하출장소,경상북도 울릉군 서면 태하1길 41,130.800712,37.512432,50,343,공터,-,13.9,47940,054-790-6332
302,경상북도,울릉군,태하지구,태하분교,경북 울릉군 서면 태하리 521-2,130.802098,37.512887,50,351,학교운동장,-,16.3,47940,054-791-2296
303,경상북도,울릉군,현포지구,현포분교,경북 울릉군 북면 현포리 549,130.822013,37.524451,300,231,학교운동장,-,32.9,47940,054-791-2296
304,경상북도,울진군,거일지구,평해연수원 뒷산,평해읍 거일리 산63,129.4726,36.708242,47,120,공터,-,25,47930,054-789-4100
305,경상북도,울진군,거일지구,마을뒷산 고지대,평해읍 거일리 산29,129.471135,36.714272,47,260,공터,-,25,47930,054-789-4100
306,경상북도,울진군,거일지구,파도향기펜션,평해읍 거일리 산61,129.468369,36.706891,48,230,민간건축물,미적용,20,47930,054-789-4100
307,경상북도,울진군,거일지구,마을뒷산 고지대,평해읍 거일리 83-1,129.472922,36.708334,48,100,공터,-,27,47930,054-789-4100
308,경상북도,울진군,거일지구,거일 평화교회,평해읍  울진대게로 603-12,129.473067,36.700486,48,100,민간건축물,미적용,27,47930,054-789-4100
309,경상북도,울진군,거일지구,마을뒷산 고지대,평해읍 거일리 192,129.473863,36.703751,48,250,공터,-,27,47930,054-789-4100
310,경상북도,울진군,거일지구,마을뒷산 고지대,평해읍 거일리 산153-1,129.474662,36.701041,48,150,공터,-,25,47930,054-789-4100
311,경상북도,울진군,거일지구,마을뒷산 고지대,평해읍 거일리 산159,129.474906,36.699183,48,150,공터,-,25,47930,054-789-4100
312,경상북도,울진군,구산지구,태평양횟집 뒷산,기성면 구산리 48-2,129.4713433,36.762684,150,150,공터,-,22,47930,054-789-6153
313,경상북도,울진군,구산지구,구산중앙교회 옆,기성면 구산리 177,129.4665549,36.7611869,200,240,공터,-,22,47930,054-789-6153
314,경상북도,울진군,구산지구,구산침례교회 뒷산,기성면 구산리 305,129.4657358,36.7584008,300,200,공터,-,21,47930,054-789-6153
315,경상북도,울진군,구산지구,마을뒤 고지대밭,기성면 구산리 83,129.4739681,36.7633661,300,240,공터,-,19,47930,054-789-6153
316,경상북도,울진군,구산지구,동해월송정 옥상,기성면 구산리 418-1,129.4642466,36.755058,300,280,민간건축물,미적용,22,47930,054-789-6153
317,경상북도,울진군,구산지구,구산비치모텔뒤 공터,기성면 구산리 391,129.4647454,36.7520746,300,360,공터,-,20,47930,054-789-6153
318,경상북도,울진군,금음지구,어업무선국송신소,후포면 동해대로 307-18,129.434671,36.669545,300,100,공터,-,24,47930,054-789-4900
319,경상북도,울진군,금음지구,마을뒤고지대(주차장),후포면 금음리 113-1,129.431278,36.668098,300,240,공터,-,20,47930,054-789-4900
321,경상북도,울진군,금음지구,마을뒤공터,후포면 금음리 114-6,129.429487,36.66724,200,160,공터,-,15,47930,054-789-4900
322,경상북도,울진군,금음지구,코리아모텔 뒷산,후포면 금음리 산155,129.426569,36.66582,500,250,공터,-,24,47930,054-789-4900
323,경상북도,울진군,금음지구,국도옆 산마루측구,후포면 금음리 259,129.431039,36.660888,300,80,공터,-,25,47930,054-789-4900
324,경상북도,울진군,금음지구,반소골길,후포면 금음리 산259,129.398723,36.665528,300,100,공터,-,20,47930,054-789-4900
325,경상북도,울진군,금음지구,구 7번국도,후포면 금음리 394-2,129.422408,36.64519,500,200,도로변,-,20,47930,054-789-4900
326,경상북도,울진군,기성지구,기성초등학교,기성면 척산2길 24-4,129.4494636,36.7979571,500,250,학교운동장,-,17,47930,054-789-6153
327,경상북도,울진군,기성지구,비행훈련원 기숙사,기성면 기성로 721,129.4500816,36.8023299,1000,550,공공건축물,미적용,40,47930,054-789-6153
328,경상북도,울진군,기성지구,기성리뒷산 배수지,기성면 기성리 산1-2,129.4570477,36.8037928,300,370,공터,-,30,47930,054-789-6153
329,경상북도,울진군,나곡지구3,석호마을 아파트,북면 울진북로 2234,129.373484,37.114456,330,230,민간건축물,미적용,7,47930,054-789-6153
330,경상북도,울진군,나곡지구3,한수원아파트,북면 나곡리 178-1,129.37177,37.109534,500,610,민간건축물,미적용,8,47930,054-789-6153
331,경상북도,울진군,나곡지구2,만남의 광장 앞 도로,북면 나곡리 산169,129.367804,37.128572,200,390,도로변,-,16,47930,054-789-6153
332,경상북도,울진군,나곡지구2,모텔휠파크 앞 도로,북면 나곡리 686-7,129.370648,37.124414,360,280,도로변,-,14,47930,054-789-6153
336,경상북도,울진군,노음지구,경원아파트,근남면 노음리 331-4,129.394335,36.960899,200,1800,민간건축물,미적용,6,47930,054-789-4443
338,경상북도,울진군,노음지구,노음초등학교,근남면 노음6길 22,129.39183,36.958665,300,2000,학교운동장,-,7,47930,054-789-4443
341,경상북도,울진군,덕신지구,덕신휴게소 뒷산,매화면 덕신리 255-1,129.414272,36.87947,250,780,도로변,-,25,47930,054-789-6153
342,경상북도,울진군,망양지구,망양정옛터,기성면 망양리 413-4,129.427787,36.849533,300,90,공터,-,19,47930,054-789-6153
343,경상북도,울진군,망양지구,삼성모텔 옥상,기성면  망양로 111,129.429433,36.846511,200,100,공공건축물,미적용,18,47930,054-789-6153
344,경상북도,울진군,망양지구,마을뒤고지대,기성면 망양리 515-1,129.423151,36.852577,500,300,공터,-,19,47930,054-789-6153
345,경상북도,울진군,망양지구,늘푸른민박,기성면  망양로 217-1,129.425247,36.85522,200,100,민간건축물,미적용,14,47930,054-789-6153
346,경상북도,울진군,봉산지구,공항교차로 공터,기성면 봉산리 산1-11,129.4597929,36.7882538,1000,500,공터,-,24,47930,054-789-6153
347,경상북도,울진군,봉산지구,봉산1리 개인주택,기성면 봉산리 322,129.4659341,36.7815236,300,250,민간건축물,미적용,23,47930,054-789-6153
348,경상북도,울진군,봉산지구,봉산1리 마을뒷산,기성면 봉산리 309,129.4686733,36.7803607,100,100,공터,-,26,47930,054-789-6153
349,경상북도,울진군,봉산지구,봉산2리 마을회관뒤 밭,기성면 봉산리 115-2,129.4744597,36.7705571,200,120,공터,-,15,47930,054-789-6153
350,경상북도,울진군,봉산지구,봉산2리 개인주택,기성면 구산봉산로 245-7,129.4756875,36.7691623,500,130,민간건축물,미적용,15,47930,054-789-6153
351,경상북도,울진군,봉산지구,마을뒷산 묘지,기성면 봉산리 산60,129.4741185,36.7717517,300,60,공터,-,17,47930,054-789-6153
352,경상북도,울진군,봉평2지구,죽변비취모텔뒷편,죽변면 봉평리 200 ,129.413729,37.037611,100,560,공터,-,13,47930,054-789-6153
353,경상북도,울진군,봉평2지구,봉평1리 마을회관,죽변면 골장길 67,129.411843,37.035255,100,100,공공건축물,미적용,13,47930,054-789-6153
354,경상북도,울진군,봉평1지구,골마야 산 밭,죽변면 봉평리 577 ,129.409917,37.047678,50,490,공터,-,16,47930,054-789-6153
355,경상북도,울진군,봉평1지구,이안빌라뒷편,죽변면 봉평리 산 76-1 ,129.412348,37.042692,100,170,공터,-,16,47930,054-789-6153
356,경상북도,울진군,봉평1지구,봉평 신라비전시관옆,죽변면 봉평리 산 71-3 ,129.407335,37.043939,100,560,공공건축물,미적용,17,47930,054-789-6153
358,경상북도,울진군,부구지구1,마을회관 뒤 밭,북면 부구리 159-9,129.372431,37.10386,50,80,공터,-,12,47930,054-789-6153
359,경상북도,울진군,부구지구1,부구교회 뒤 밭,북면 부구리 211-11,129.374733,37.10583,50,330,공터,-,16,47930,054-789-6153
362,경상북도,울진군,부구지구2,한중아파트 뒤 밭,북면 부구리 319-1,129.367413,37.102504,200,420,공터,-,26,47930,054-789-6153
363,경상북도,울진군,부구지구2,부구리 582-2 일대 밭,북면 부구리 528-2,129.365639,37.101492,200,180,공터,-,25,47930,054-789-6153
364,경상북도,울진군,부구지구2,사슴농장 앞 도로,북면  중흥부길 35-10,129.357159,37.102807,100,720,도로변,-,18,47930,054-789-6153
365,경상북도,울진군,사동지구,사동초등학교,기성면  해월헌길 19,129.437804,36.830099,500,90,공공건축물,미적용,15,47930,054-789-6153
366,경상북도,울진군,사동지구,사동2리 마을뒷산,기성면 사동리 275,129.443818,36.828633,100,100,공터,-,21,47930,054-789-6153
367,경상북도,울진군,사동지구,마을뒤 도로,기성면 사동리 308-1,129.445475,36.828926,300,100,공터,-,15,47930,054-789-6153
368,경상북도,울진군,사동지구,사동3리 마을뒷산,기성면 사동리 산75-1,129.444455,36.825444,100,160,공터,-,26,47930,054-789-6153
369,경상북도,울진군,사동지구,마을뒤 고지대,기성면 사동리 169,129.44646,36.823227,300,90,공터,-,15,47930,054-789-6153
370,경상북도,울진군,산포지구3,방사능센터,근남면  산포1길 34,129.402534,36.961282,300,1100,공공건축물,미적용,5,47930,054-789-4443
376,경상북도,울진군,산포지구5,산포3리 마을회관,근남면 산포리 51-1,129.416409,36.946434,100,170,공공건축물,미적용,7,47930,054-789-4443
378,경상북도,울진군,산포지구1. 2,망양정,근남면 산포리 714,129.412732,36.966585,100,130,공터,-,42,47930,054-789-4443
379,경상북도,울진군,산포지구1. 2,해맞이공원 주차장,근남면 산포리 661-3,129.412294,36.964549,300,220,공터,-,21,47930,054-789-4443
382,경상북도,울진군,삼율지구,마을뒤고지대(주차장),후포면 삼율리 432,129.438997,36.681664,500,220,공터,-,19,47930,054-789-4900
383,경상북도,울진군,삼율지구,허심장모텔옥상(휴모텔),후포면  후포삼율로 89,129.440837,36.678537,200,200,민간건축물,미적용,15,47930,054-789-4900
384,경상북도,울진군,삼율지구,삼영아파트옥상,후포면 울진대게로 24-7,129.442473,36.677247,400,150,민간건축물,미적용,20,47930,054-789-4900
385,경상북도,울진군,삼율지구,정우맨션옥상,후포면 후포삼율로 128-7,129.443616,36.681342,300,360,민간건축물,미적용,17,47930,054-789-4900
386,경상북도,울진군,삼율지구,우성플러스빌옥상,후포면 청구천길 4-8,129.444831,36.681785,300,120,민간건축물,미적용,37,47930,054-789-4900
387,경상북도,울진군,삼율지구,후포초등학교,후포면 삼율5길 8,129.441419,36.681171,9000,350,학교운동장,-,18,47930,054-789-4900
388,경상북도,울진군,삼율지구,공영하이츠옥상,후포면 정실2길 24-1,129.439106,36.677606,500,300,민간건축물,미적용,35,47930,054-789-4900
389,경상북도,울진군,삼율지구,보성장여관,후포면  후포삼율로 70,129.440494,36.676521,200,250,민간건축물,미적용,15,47930,054-789-4900
390,경상북도,울진군,삼율지구,남울진청년회의소,후포면  정실2길 104,129.435627,36.677578,300,350,민간건축물,미적용,20,47930,054-789-4900
391,경상북도,울진군,삼율지구,예다움아파트 옥상,후포면 삼율리 176-8,129.440335,36.674975,500,200,민간건축물,미적용,30,47930,054-789-4900
392,경상북도,울진군,금음지구,공장부지,후포면 금음리 산1,129.436249,36.673766,500,300,공터,-,40,47930,054-789-4900
393,경상북도,울진군,수산지구,수산리 421번지 일대,근남면 수산리 421,129.394068,36.969744,100,1500,공터,-,21,47930,054-789-4443
395,경상북도,울진군,오산지구,해양레포츠센터,매화면  오산항길 59,129.412866,36.890112,100,25,공터,-,5,47930,054-789-6153
397,경상북도,울진군,오산지구,마을 뒤 고지대,매화면 오산리 253-2,129.416821,36.893807,200,510,공터,-,9,47930,054-789-6153
400,경상북도,울진군,오산지구,오산3리 뒷산,매화면 오산리 561,129.413044,36.904447,250,450,공터,-,11,47930,054-789-6153
401,경상북도,울진군,오산지구,마을 뒤 고지대,매화면 오산리 642-1,129.414032,36.90945,380,320,공터,-,14,47930,054-789-6153
402,경상북도,울진군,죽변1. 2지구,정구장,죽변면 죽변리 1-43,129.420552,37.064061,450,680,민간건축물,미적용,26,47930,054-789-6153
403,경상북도,울진군,죽변1. 2지구,죽변면민회관,죽변면 죽변리 57-1 ,129.422542,37.061358,840,380,공공건축물,미적용,15,47930,054-789-6153
405,경상북도,울진군,죽변1. 2지구,동도빌라,죽변면  죽변9길 67-44,129.418728,37.059529,500,290,민간건축물,미적용,34,47930,054-789-6153
406,경상북도,울진군,죽변1. 2지구,죽변중고등학교,죽변면 죽변4길 19,129.4203,37.064579,500,580,학교운동장,-,21,47930,054-789-6153
407,경상북도,울진군,죽변1. 2지구,죽변초등학교,죽변면 죽변3길 17,129.421781,37.063811,450,490,학교운동장,-,17,47930,054-789-6153
410,경상북도,울진군,죽변1. 2지구,죽변119안전센터,죽변면 후정리 381-6 ,129.412672,37.055117,30,1000,공공건축물,미적용,26,47930,054-789-6153
411,경상북도,울진군,직산지구,마을뒷산 고지대,평해읍 직산리 28-2,129.475082,36.732957,84,240,공터,-,20,47930,054-789-4100
412,경상북도,울진군,직산지구,평해콘도옆 고지대,평해읍 직산리 산1,129.475067,36.732237,70,180,공터,-,18,47930,054-789-4100
413,경상북도,울진군,직산지구,직산2리 마을회관 뒷산,평해읍 직산리 산42,129.470617,36.723472,70,60,공터,-,18,47930,054-789-4100
414,경상북도,울진군,직산지구,직산보건소 뒷산,평해읍 직산리 317,129.469521,36.721387,70,180,공터,-,18,47930,054-789-4100
415,경상북도,울진군,직산지구,농협창고뒷산,평해읍 직산리 283,129.470291,36.719718,70,250,공터,-,22,47930,054-789-4100
417,경상북도,울진군,진복지구1,펜션 뒤 밭,근남면 진복리 716-3,129.414849,36.931646,100,200,공터,-,5,47930,054-789-4443
420,경상북도,울진군,진복지구2,만영수산 뒤 밭,근남면 진복리 174,129.417162,36.921837,100,175,공터,-,13,47930,054-789-4443
421,경상북도,울진군,후포지구,후포2리 뒷산,후포면 후포리 289-78,129.457216,36.684346,400,200,공터,-,35,47930,054-789-4900
422,경상북도,울진군,후포지구,후포2리마을고지대,후포면 후포리 361-1,129.458912,36.683827,100,280,공터,-,25,47930,054-789-4900
423,경상북도,울진군,후포지구,후포등기산공원,후포면 후포6길 10-24,129.461246,36.68294,800,200,공터,-,43,47930,054-789-4900
424,경상북도,울진군,후포지구,용마맨션 옥상,후포면 후포로 195,129.460817,36.681841,300,100,민간건축물,미적용,19,47930,054-789-4900
425,경상북도,울진군,후포지구,전망대,후포면 후포리 산141-13,129.464702,36.680477,200,160,공공건축물,미적용,21,47930,054-789-4900
426,경상북도,울진군,후포지구,평해광원사원아파트,후포면  울진대게로 359,129.465457,36.689227,200,100,민간건축물,미적용,19,47930,054-789-4900
427,경상북도,울진군,후포지구,마을뒷산 고지대,후포면 후포리 37,129.464291,36.688566,200,120,공터,-,20,47930,054-789-4900
428,경상북도,울진군,후포지구,후포동부초등학교,후포면 후포리 78,129.461851,36.687035,500,130,학교운동장,-,20,47930,054-789-4900
429,경상북도,울진군,후포지구,후포1리마을고지대,후포면 후포리 447-1,129.460012,36.684868,300,100,공터,-,20,47930,054-789-4900
430,경상북도,울진군,후포지구,등대산 고지대,후포면 후포리 산140,129.462739,36.684571,400,200,공터,-,25,47930,054-789-4900
431,경상북도,울진군,후포지구,후포교회,후포면 후포로 101,129.452309,36.680862,300,100,민간건축물,미적용,17,47930,054-789-4900
432,경상북도,울진군,후포지구,선재하이츠 빌라옥상,후포면  후포로 121,129.453967,36.682015,200,200,민간건축물,미적용,17,47930,054-789-4900
434,경상북도,울진군,연지지구 2. 3,연지1리 마을회관,울진읍 현내항길 307,129.415332,36.991508,200,40,공터,-,15,47930,054-789-6153
438,경상북도,울진군,온양지구 2,모텔 아리아,울진읍 온양리 127-2,129.407676,37.027622,300,320,공터,-,22,47930,054-789-6153
439,경상북도,울진군,온양지구 1,교원사택,울진읍 울진북로 925,129.405421,37.018647,500,100,공공건축물,미적용,5,47930,054-789-6153
440,경상북도,울진군,월송지구,월송2리 마을회관 뒷산,평해읍 월송리 산22-6,129.459518,36.739277,200,600,공터,-,25,47930,054-789-4100
441,경상북도,울진군,월송지구,마을뒷산 고지대,평해읍 월송리 산18,129.458223,36.741326,200,600,공터,-,27,47930,054-789-4100
442,경상북도,울진군,월송지구,월송초등학교,평해읍 월송길 59,129.458995,36.735894,388,600,학교운동장,-,15,47930,054-789-4100
445,부산광역시,강서구,대항지구,대항주차장,대항동 산 13-26,128.817874,35.028487,1000,200,도로변,-,15,26440,051-970-2973
446,부산광역시,강서구,대항지구,대항마을회관,대항동 258,128.827801,35.011952,100,70,공공건축물,미적용,10,26440,051-970-2973
447,부산광역시,기장군,공수지구,공수마을뒷산(멍두산),기장읍 당사로3길 34,129.122991,35.110005,400,550,공터,-,30.15,26710,033-123-4567
449,부산광역시,기장군,동암지구,국립수산과학원 정문 앞 도로,기장읍 기장해안로 216,129.221221,35.19479,200,500,도로변,-,13.91,26710,033-123-4567
450,부산광역시,기장군,서암-신암지구,신암마을 뒤 신도로,기장읍 연화리 208-3 일원,129.132914,35.130832,300,500,도로변,-,16.81,26710,051-709-5427
451,부산광역시,기장군,서암-신암지구,서암마을 뒤 신도로,기장읍 연화리 392 일원,129.1318,35.124668,500,200,도로변,-,28.2,26710,051-709-5427
453,부산광역시,기장군,월전-죽성지구,월전마을 야산 사거리,기장읍 죽성리 296-1 일원,129.1428,35.1428,500,520,공터,-,15.82,26710,051-709-5427
454,부산광역시,기장군,월전-죽성지구,죽성국수당,기장읍 죽성리 기장읍 257 일원,129.1636,35.1945,500,400,공터,-,16.47,26710,051-709-5427
455,부산광역시,기장군,학리-이동지구,학리마을 뒷산,일광면 학리4길 20-6 일원,129.243405,35.256975,300,300,공터,-,22.6,26710,051-709-5427
456,부산광역시,기장군,학리-이동지구,이동마을 뒷산,이천리 221-4 일원,129.143692,35.162448,400,500,공터,-,14.1,26710,051-709-5427
457,부산광역시,기장군,학리-이동지구,한국유리 본관 앞 주차장,일광면 일광로 188,129.143028,35.155954,80,200,공터,-,13.6,26710,051-709-5427
458,부산광역시,기장군,칠암-문동지구,문동마을 뒷산,일광면 창마을길 19-3,129.254033,35.287398,500,600,공터,-,41.75,26710,051-709-5427
459,부산광역시,기장군,칠암-문동지구,칠암초등학교,일광면 박영준길 19,129.255455,35.298855,300,200,공공건축물,1등급,11.1,26710,051-727-0760
461,부산광역시,기장군,동백지구,부경대수산과학연구소 앞 야산,일광면 동백리 241-3 일원,129.152434,35.170725,650,320,공터,-,17.1,26710,051-709-5427
462,부산광역시,기장군,월내-길천지구,고리스포츠문화센터,장안읍 길천리 85 일원,129.287951,35.329468,1500,500,공공건축물,1등급,14.46,26710,051-726-5195
464,부산광역시,기장군,월내-길천지구,기장문화예절학교,장안읍 해맞이로 311-31,129.268943,35.325828,900,550,공공건축물,2등급,34.06,26710,051-728-8022
465,부산광역시,기장군,월내-길천지구,월내야산(삼막골),장안읍 월내리 286-2 일원,129.1636,35.1945,700,400,공터,-,26.26,26710,051-709-5427
466,부산광역시,기장군,임랑지구,임랑야산(대덕사),장안읍 임랑리 97-10 일원,129.277202,35.327456,350,400,공터,-,11.4,26710,051-709-5427
467,부산광역시,남구,섶자리지구,동생말 언덕,부산광역시 남구 용호동 산 5-4,129.118299,35.127632,300,1000,도로변,-,25,26290,051-607-4645
468,부산광역시,남구,섶자리지구,이기대 산책로 입구,부산광역시 남구 용호동 5-21,129.120527,35.132165,200,50,도로변,-,20,26290,051-607-4645
